ชื่อเรื่อง,ปี,คะแนน,ผู้เขียน,ฐานวารสาร
The Impact of Good Corporate Governance on Thai Real Estate Companies' Firm Performance,2568,0.6,Kanitpirom Wattanasan,TCI2
The Impact of Good Corporate Governance on Thai Real Estate Companies' Firm Performance,2568,0.6,Bhupesh Lohar,TCI2
The Impact of Good Corporate Governance on Thai Real Estate Companies' Firm Performance,2568,0.6,Rosario Cano Garcia,TCI2
The Impact of Good Corporate Governance on Thai Real Estate Companies' Firm Performance,2568,0.6,Chalee Phamonmontri,TCI2
Fragmented Identities and Feminist Schizoanalysis: Reimagining the Self in Contemporary American Fiction,2568,1.0,Pushpraj Singh,Scopus Q2
Fragmented Identities and Feminist Schizoanalysis: Reimagining the Self in Contemporary American Fiction,2568,1.0,Ekta Rana ,Scopus Q2
The Relationship Between Proximity to Television Transmission Towers and the Health Conditions of Secondary School Students,2568,0.6,Chutimon Phoemwong,TCI2
The Relationship Between Proximity to Television Transmission Towers and the Health Conditions of Secondary School Students,2568,0.6,Rattiya Meesomsak,TCI2
The Relationship Between Proximity to Television Transmission Towers and the Health Conditions of Secondary School Students,2568,0.6,Chompusakdi Pulkate,TCI2
The Relationship Between Proximity to Television Transmission Towers and the Health Conditions of Secondary School Students,2568,0.6,Vijaya Bhakskara Reddy Mutha,TCI2
The Relationship Between Proximity to Television Transmission Towers and the Health Conditions of Secondary School Students,2568,0.6,Grace Calugan Bangasan,TCI2
The Development of Learning Activities on Statistics in Everyday Life Course through Authentic Project Based-Learning Approach for Undergraduate Students in Private University,2568,0.6,Montien Chomdokmai,TCI2
The Development of Learning Activities on Statistics in Everyday Life Course through Authentic Project Based-Learning Approach for Undergraduate Students in Private University,2568,0.6,Pojanee Mangkang,TCI2
Organizational Culture and Job Satisfaction: The Mediating Role of Work-Life Balance in the Airline Industry,2568,0.6,Juan Rodrigo Beldad Del Villar,TCI2
Organizational Culture and Job Satisfaction: The Mediating Role of Work-Life Balance in the Airline Industry,2568,0.6,Amornteb Intasorn,TCI2
Organizational Culture and Job Satisfaction: The Mediating Role of Work-Life Balance in the Airline Industry,2568,0.6,Sukit Klinhom,TCI2
Organizational Culture and Job Satisfaction: The Mediating Role of Work-Life Balance in the Airline Industry,2568,0.6,Surath Sridech,TCI2
Organizational Culture and Job Satisfaction: The Mediating Role of Work-Life Balance in the Airline Industry,2568,0.6,Saran Kumar,TCI2
Organizational Culture and Job Satisfaction: The Mediating Role of Work-Life Balance in the Airline Industry,2568,0.6,Syed Habeeb,TCI2
ภูมิปัญญาท้องถิ่นกับการเลี้ยงลูกด้วยนมแม่,2568,0.6,Thanomrat Prasith-thimet,TCI2
ภูมิปัญญาท้องถิ่นกับการเลี้ยงลูกด้วยนมแม่,2568,0.6,Chuanpit Charoenpong,TCI2
ภูมิปัญญาท้องถิ่นกับการเลี้ยงลูกด้วยนมแม่,2568,0.6,Sumitra Sittirit,TCI2
ภูมิปัญญาท้องถิ่นกับการเลี้ยงลูกด้วยนมแม่,2568,0.6,Kingkaew Sangpaew,TCI2
ภูมิปัญญาท้องถิ่นกับการเลี้ยงลูกด้วยนมแม่,2568,0.6,Wanree Saisamuth,TCI2
ปัจจัยที่มีความสัมพันธ์กับความส าเร็จในการรักษาด้วยเครื่องให้ออกซิเจนเสริมชนิดอัตราการไหลสูง ในผู้ป่วย  เด็กที่เข้ารักษาในโรงพยาบาลสระบุรี,2568,0.6,Wilaiwan Sangthum,TCI2
Motivation and Employability Skills of Airline Business Graduates: The Mediating Role of Self-Efficacy,2568,0.6,Juan Rodrigo Beldad Del Villar,TCI2
Motivation and Employability Skills of Airline Business Graduates: The Mediating Role of Self-Efficacy,2568,0.6,Amarjeet Singh Mastana ,TCI2
Motivation and Employability Skills of Airline Business Graduates: The Mediating Role of Self-Efficacy,2568,0.6,Saran Kumar,TCI2
ผลของโปรแกรมการออกกำลังกายเพื่อป้องกันออฟฟิศซินโดรมต่อระดับความเจ็บปวดกล้ามเนื้อคอบ่าไหลและหลังส่วนต้นในกลุ่มวัยทำงาน,2568,0.6,Pudsadee Korjedee,TCI2
รูปแบบการส่งเสริมความรอบรู้ด้านสุขภาพเพื่อป้องกันโรคหลอดเลือดสมองในผู้ป่วยโรคความดันโลหิตสูงในชุมชน,2568,0.8,Panida Klosawasdi,TCI1
รูปแบบการส่งเสริมความรอบรู้ด้านสุขภาพเพื่อป้องกันโรคหลอดเลือดสมองในผู้ป่วยโรคความดันโลหิตสูงในชุมชน,2568,0.8,Jarunee Janpleng,TCI1
รูปแบบการส่งเสริมความรอบรู้ด้านสุขภาพเพื่อป้องกันโรคหลอดเลือดสมองในผู้ป่วยโรคความดันโลหิตสูงในชุมชน,2568,0.8,Prang Jukchai,TCI1
Digital marketing approaches and their role in fostering healthy eating behaviors: A systematic literature review,2568,1.0,Amarjeet Singh Mastana ,Scopus Q3
Wearable technology in social efforts to improve health and happiness of consumer applications: A Systematic literature review,2568,1.0,Amarjeet Singh Mastana ,Scopus Q4
"Emotional Intelligence and Self Management as Predictors of Job Performance among Hotel Employees in Bangkok, Thailand",2568,0.6,Juan Rodrigo Beldad Del Villar,TCI2
"Emotional Intelligence and Self Management as Predictors of Job Performance among Hotel Employees in Bangkok, Thailand",2568,0.6,Alfredo Cariaso Espejo,TCI2
"Emotional Intelligence and Self Management as Predictors of Job Performance among Hotel Employees in Bangkok, Thailand",2568,0.6,Harrywong Kubtavanich,TCI2
"Emotional Intelligence and Self Management as Predictors of Job Performance among Hotel Employees in Bangkok, Thailand",2568,0.6,Nopearrnund Peanmunkung,TCI2
"Emotional Intelligence and Self Management as Predictors of Job Performance among Hotel Employees in Bangkok, Thailand",2568,0.6,Willard Jeff Villablanca Pada,TCI2
The Impact of work Environment and Motivation on Job Statisfaction among Airline Ground Staff in Thailand,2568,0.6,Juan Rodrigo Beldad Del Villar,TCI2
The Impact of work Environment and Motivation on Job Statisfaction among Airline Ground Staff in Thailand,2568,0.6,Amornteb Intasorn,TCI2
The Impact of work Environment and Motivation on Job Statisfaction among Airline Ground Staff in Thailand,2568,0.6,Surarak Onpan,TCI2
Influence Of English Language On Metadata Standardization In Global Library Networks,2567,1.0,Ekta Rana ,Scopus Q4
Preparation of Navigation Plan for Scenic Routes Between Airports At Bangkok(VTBD) and U-Tapao (VTBU) And Validation Using Flight Simulator,2567,1.0,Mari Prabu Govindan,Scopus Q4
การพัฒนาโปรแกรมส่งเสริมการเรียนรู้ด้านการจัดการความเสี่ยงและความปลอดภัยของผู้คลอดสำหรับนักศึกษาพยาบาล,2567,0.8,Supaporn Tohsaw,TCI1
การพัฒนาโปรแกรมส่งเสริมการเรียนรู้ด้านการจัดการความเสี่ยงและความปลอดภัยของผู้คลอดสำหรับนักศึกษาพยาบาล,2567,0.8,Suree Nung-Alee,TCI1
การพัฒนาโปรแกรมส่งเสริมการเรียนรู้ด้านการจัดการความเสี่ยงและความปลอดภัยของผู้คลอดสำหรับนักศึกษาพยาบาล,2567,0.8,Siriluk Wongsanao,TCI1
การพัฒนาโปรแกรมส่งเสริมการเรียนรู้ด้านการจัดการความเสี่ยงและความปลอดภัยของผู้คลอดสำหรับนักศึกษาพยาบาล,2567,0.8,Thipphanee Khumpet,TCI1
การพัฒนาโปรแกรมส่งเสริมการเรียนรู้ด้านการจัดการความเสี่ยงและความปลอดภัยของผู้คลอดสำหรับนักศึกษาพยาบาล,2567,0.8,Nannapat Supol,TCI1
"Applying Digital Technology in ESL-Learning to Enhance Student Engagement and Learning Outcomes for K3 Students at Bangkok Bilingual School, Thailand",2567,0.6,Suphak Pibool,TCI2
"Applying Digital Technology in ESL-Learning to Enhance Student Engagement and Learning Outcomes for K3 Students at Bangkok Bilingual School, Thailand",2567,0.6,Pojanee Mangkang,TCI2
"Hands-on Parental Involvement to Enhance Student’s language and Communicative Ability of the Pre-nursery students at Hummingbird International Kindergarten, Thailand",2567,0.6,Montien Chomdokmai,TCI2
"Multiculturalism of Ethnic Groups and Social Capital Potentiality:Mon and Lao Vieng Ethnic group in Kaopra Valley, Nakhon Nayok, Thailand",2567,0.6,Vichian Puncreobutr,TCI2
Inclusivity Diversity And Job Satisfaction Of Employees In The Airline Industry,2567,0.6,Alfredo Cariaso Espejo,TCI2
Inclusivity Diversity And Job Satisfaction Of Employees In The Airline Industry,2567,0.6,R. Hazanal Rashid Khan,TCI2
Emotional Labor and Job Performance of Ground Personnel in Thailand's Airline Industry,2567,0.6,Juan Rodrigo Beldad Del Villar,TCI2
Emotional Labor and Job Performance of Ground Personnel in Thailand's Airline Industry,2567,0.6,Alfredo Cariaso Espejo,TCI2
Emotional Labor and Job Performance of Ground Personnel in Thailand's Airline Industry,2567,0.6,Saran Kumar,TCI2
Emotional Labor and Job Performance of Ground Personnel in Thailand's Airline Industry,2567,0.6,Dario Mando,TCI2
The Impact Of Stress On The Emotional And Psychological Well-Being Of University Students,2567,1.0,Juan Rodrigo Beldad Del Villar,Scopus Q4
The Impact Of Stress On The Emotional And Psychological Well-Being Of University Students,2567,1.0,Omega Rose P. Allanic,Scopus Q4
The Impact Of Stress On The Emotional And Psychological Well-Being Of University Students,2567,1.0,Ramona Bedonia Bedonia,Scopus Q4
ปัจจัยที่มีผลกระทบต่อการควบคุมจราจรทางอากาศ ณ ท่าอากาศยานสุวรรณภูมิ หลังการแพร่ระบาดของโรค COVID–19,2567,0.8,Amornteb Intasorn,TCI1
การศึกษาความเสี่ยงของระบบกระดูกและกล้ามเนื้อที่สัมพันธ์การทำงานในกลุ่มคนงานก่อสร้างรถไฟฟ้าในกรุงเทพมหานคร,2567,0.6,Jishin Jayan Thrippunath,TCI2
การศึกษาความเสี่ยงของระบบกระดูกและกล้ามเนื้อที่สัมพันธ์การทำงานในกลุ่มคนงานก่อสร้างรถไฟฟ้าในกรุงเทพมหานคร,2567,0.6,Rattanathorn Intarak,TCI2
การศึกษาความเสี่ยงของระบบกระดูกและกล้ามเนื้อที่สัมพันธ์การทำงานในกลุ่มคนงานก่อสร้างรถไฟฟ้าในกรุงเทพมหานคร,2567,0.6,Yi Myint Swe,TCI2
The Development of Learning Activities on Statistics in Everyday Life Course through Authentic Project Based-Learning Approach for Undergraduate Students in Private University,2567,0.6,Montien Chomdokmai,TCI2
The Development of Learning Activities on Statistics in Everyday Life Course through Authentic Project Based-Learning Approach for Undergraduate Students in Private University,2567,0.6,Pojanee Mangkang,TCI2
ข้อเสนอเชิงนโยบายการพัฒนาระบบการประเมินความพร้อมทางการแพทย์ในการขับขี่รถยนต์สาธารณะเพื่อความปลอดภัยทางท้องถนนของประเทศไทย ,2567,0.8,Veena Bhakdisirivichai,TCI1
ปัจจัยที่มีอิทธิพลต่อการรับรู้ผลกระทบของบุหรี่มือสองของนิสิตมหาวิทยาลัยที่สูบบุหรี่,2567,0.8,Panarat Satsanasupint,TCI1
ปัจจัยที่มีอิทธิพลต่อการรับรู้ผลกระทบของบุหรี่มือสองของนิสิตมหาวิทยาลัยที่สูบบุหรี่,2567,0.8,Kingkaew Sangpaew,TCI1
The Role Of Cultural Practices In Shaping Language Entropy And Cognitive Performance:A Comparative Study Of Jaipur And Vijayawada,2567,1.0,Ekta Rana ,Scopus Q4
Investigating Peer Assessment in Collaborative Writing Among Thai EFL Students: Effects on English Writing Ability,2567,0.6,Willard Jeff Villablanca Pada,TCI2
การพัฒนาความรู้และความสามารถในการแก้ปัญหาทางการพยาบาลทารกแรกเกิดด้วยการคิดอย่างมีวิจารณญาณ โดยการเรียนรู้แบบปัญหาเป็นฐาน,2567,0.6,Sujima Tilakarayasrup,TCI2
การพัฒนาความรู้และความสามารถในการแก้ปัญหาทางการพยาบาลทารกแรกเกิดด้วยการคิดอย่างมีวิจารณญาณ โดยการเรียนรู้แบบปัญหาเป็นฐาน,2567,0.6,Thep-anong Na Nakhon,TCI2
การตกเป็นเหยื่อไซเบอร์จากพฤติกรรมการใช้เครือข่ายสังคมออนไลน์ของกลุ่มวัยรุ่นในจังหวัดชลบุรี,2567,0.8,Pitark Thongsook,TCI1
ความต้องการพัฒนาความเป็นพลเมืองดิจิทัลของนักเรียนโรงเรียนคาทอลิกในจังหวัดนครสวรรค์ ประเทศไทย,2567,0.6,Rangsiphon Plianplan,TCI2
ความต้องการพัฒนาความเป็นพลเมืองดิจิทัลของนักเรียนโรงเรียนคาทอลิกในจังหวัดนครสวรรค์ ประเทศไทย,2567,0.6,Ampon Dhamacharoen,TCI2
ความต้องการพัฒนาความเป็นพลเมืองดิจิทัลของนักเรียนโรงเรียนคาทอลิกในจังหวัดนครสวรรค์ ประเทศไทย,2567,0.6,Arunee Srisawan,TCI2
ความต้องการพัฒนาความเป็นพลเมืองดิจิทัลของนักเรียนโรงเรียนคาทอลิกในจังหวัดนครสวรรค์ ประเทศไทย,2567,0.6,Payap sriyanonphinit,TCI2
ความต้องการพัฒนาความเป็นพลเมืองดิจิทัลของนักเรียนโรงเรียนคาทอลิกในจังหวัดนครสวรรค์ ประเทศไทย,2567,0.6,Sirikorn Suthawatnatcha,TCI2
การกำกับดูแลกิจการที่ดี(Corporate Governance)ที่ส่งผลต่อผลประกอบการ ธุรกิจ(firm performance)  ของบริษัทอสังหาริมทรัพย์ในประเทศไทย,2567,0.6,Kanitpirom Wattanasan,TCI2
การกำกับดูแลกิจการที่ดี(Corporate Governance)ที่ส่งผลต่อผลประกอบการ ธุรกิจ(firm performance)  ของบริษัทอสังหาริมทรัพย์ในประเทศไทย,2567,0.6,Bhupesh Lohar,TCI2
การกำกับดูแลกิจการที่ดี(Corporate Governance)ที่ส่งผลต่อผลประกอบการ ธุรกิจ(firm performance)  ของบริษัทอสังหาริมทรัพย์ในประเทศไทย,2567,0.6,Rosario Cano Garcia,TCI2
การจัดการเรียนรู้ทางสังคมที่ส่งผลต่อการเสริมสร้างความเป็นพลเมืองที่เข้มแข็ง  (Active Citizen) ของนักเรียนในโรงเรียนมัธยมศึกษาเอกชน ในจังหวัดนครปฐม,2567,0.6,Panida Klosawasdi,TCI2
การจัดการเรียนรู้ทางสังคมที่ส่งผลต่อการเสริมสร้างความเป็นพลเมืองที่เข้มแข็ง  (Active Citizen) ของนักเรียนในโรงเรียนมัธยมศึกษาเอกชน ในจังหวัดนครปฐม,2567,0.6,Suphak Pibool,TCI2
การจัดการเรียนรู้ทางสังคมที่ส่งผลต่อการเสริมสร้างความเป็นพลเมืองที่เข้มแข็ง  (Active Citizen) ของนักเรียนในโรงเรียนมัธยมศึกษาเอกชน ในจังหวัดนครปฐม,2567,0.6,Nongnuch Suwanaruji,TCI2
การจัดการเรียนรู้ทางสังคมที่ส่งผลต่อการเสริมสร้างความเป็นพลเมืองที่เข้มแข็ง  (Active Citizen) ของนักเรียนในโรงเรียนมัธยมศึกษาเอกชน ในจังหวัดนครปฐม,2567,0.6,Dario Mando,TCI2
การจัดการเรียนรู้ทางสังคมที่ส่งผลต่อการเสริมสร้างความเป็นพลเมืองที่เข้มแข็ง  (Active Citizen) ของนักเรียนในโรงเรียนมัธยมศึกษาเอกชน ในจังหวัดนครปฐม,2567,0.6,Teresita R. Doctor,TCI2
"Relationship between TOEIC advanced practice test scores and Test of English for International Communication (TOEIC) scores: A case study of fourth-year English for Business Communication majors at St Teresa International University, Nokhon Nayok Province, Thailand",2567,0.6,Boonroung Chunsuwimol,TCI2
The Relationship between agile leadership and higher education mission administration in Thai private universities,2567,0.6,Piyada Wattanasan,TCI2
The Relationship between agile leadership and higher education mission administration in Thai private universities,2567,0.6,Poonsuk Kitratporn,TCI2
The Relationship between agile leadership and higher education mission administration in Thai private universities,2567,0.6,Wilailak Tangcharaen,TCI2
The Relationship between agile leadership and higher education mission administration in Thai private universities,2567,0.6,Sawana Pornpatkul,TCI2
การรับรู้คุณภาพการให้บริการที่ส่งผลความภักดีของลูกค้าในการใช้บริการของผู้โดยสาร สายการบินต้นทุนต่ำในประเทศไทย,2567,0.6,Kaniswipa Wattanasarn,TCI2
การรับรู้คุณภาพการให้บริการที่ส่งผลความภักดีของลูกค้าในการใช้บริการของผู้โดยสาร สายการบินต้นทุนต่ำในประเทศไทย,2567,0.6,Chawalanat Hongwanichwong,TCI2
การรับรู้คุณภาพการให้บริการที่ส่งผลความภักดีของลูกค้าในการใช้บริการของผู้โดยสาร สายการบินต้นทุนต่ำในประเทศไทย,2567,0.6,Lily Grace Orcino,TCI2
กลยุทธ์การพัฒนาการท่องเที่ยวเชิงวัฒนธรรมโดยชุมชนของตลาดน้ำดอนหวาย จังหวัดนครปฐม,2567,0.6,Pornthip Layanan,TCI2
กลยุทธ์การพัฒนาการท่องเที่ยวเชิงวัฒนธรรมโดยชุมชนของตลาดน้ำดอนหวาย จังหวัดนครปฐม,2567,0.6,Jirattana Kreewong,TCI2
กลยุทธ์การพัฒนาการท่องเที่ยวเชิงวัฒนธรรมโดยชุมชนของตลาดน้ำดอนหวาย จังหวัดนครปฐม,2567,0.6,Raja Mannar Badur,TCI2
"The Limited Health Literacy and Associated Factors Among Construction Workers in Bangkok, Thailand",2567,0.6,Yi Myint Swe,TCI2
"The Limited Health Literacy and Associated Factors Among Construction Workers in Bangkok, Thailand",2567,0.6,Sahattaya Rattanajarana,TCI2
"The Limited Health Literacy and Associated Factors Among Construction Workers in Bangkok, Thailand",2567,0.6,Chit Ko Pe,TCI2
"The Limited Health Literacy and Associated Factors Among Construction Workers in Bangkok, Thailand",2567,0.6,Srichant Uthayopas,TCI2
"The Limited Health Literacy and Associated Factors Among Construction Workers in Bangkok, Thailand",2567,0.6,Rattanathorn Intarak,TCI2
การปลูกฝังคุณธรรมตามวิถีเซนต์เทเรซาของนักศึกษา มหาวิทยาลัยนานาชาติเซนต์เทเรซา,2567,0.6,Vichian Puncreobutr,TCI2
การปลูกฝังคุณธรรมตามวิถีเซนต์เทเรซาของนักศึกษา มหาวิทยาลัยนานาชาติเซนต์เทเรซา,2567,0.6,Kingkaew Sangpaew,TCI2
การปลูกฝังคุณธรรมตามวิถีเซนต์เทเรซาของนักศึกษา มหาวิทยาลัยนานาชาติเซนต์เทเรซา,2567,0.6,Pornthip Layanan,TCI2
การปลูกฝังคุณธรรมตามวิถีเซนต์เทเรซาของนักศึกษา มหาวิทยาลัยนานาชาติเซนต์เทเรซา,2567,0.6,Jirattana Kreewong,TCI2
การปลูกฝังคุณธรรมตามวิถีเซนต์เทเรซาของนักศึกษา มหาวิทยาลัยนานาชาติเซนต์เทเรซา,2567,0.6,Abdus Salam  ,TCI2
Current Status and Prospects of Islamic Finance in Thailand,2567,0.6,Abdus Salam  ,TCI2
Current Status and Prospects of Islamic Finance in Thailand,2567,0.6,Modhammad Iqbal Hossain,TCI2
Thai Youth Cinema as Cultural Evidence: Social Well-Being and Everyday Connectedness in Bundit Rittakol’s Films,2567,0.8,Khomson Suebsaeng,TCI1
การพัฒนาทักษะทางคณิตศาสตร์ ด้วยกิจกรรมปั้นแป้งโดว์ (Dough Modeling Activity) ของเด็ก นักเรียนปฐมวัย ชั้นปีที่ 1 โรงเรียนอนุบาลนานาแห่งหนึ่งในกรุงเทพ ประเทศไทย,2567,0.6,Surarak Onpan,TCI2
การพัฒนาทักษะทางคณิตศาสตร์ ด้วยกิจกรรมปั้นแป้งโดว์ (Dough Modeling Activity) ของเด็ก นักเรียนปฐมวัย ชั้นปีที่ 1 โรงเรียนอนุบาลนานาแห่งหนึ่งในกรุงเทพ ประเทศไทย,2567,0.6,Leo Anthony Bril Flores,TCI2
ความเชื่อมั่นของผู้บริโภคต่ออาคารสูงที่รองรับการเกิดแผ่นดินไหวในกรุงเทพ,2567,0.6,Boonroung Chunsuwimol,TCI2
ความเชื่อมั่นของผู้บริโภคต่ออาคารสูงที่รองรับการเกิดแผ่นดินไหวในกรุงเทพ,2567,0.6,Vipa Pengsa-ium,TCI2
ความเชื่อมั่นของผู้บริโภคต่ออาคารสูงที่รองรับการเกิดแผ่นดินไหวในกรุงเทพ,2567,0.6,Pornthip Layanan,TCI2
ความเชื่อมั่นของผู้บริโภคต่ออาคารสูงที่รองรับการเกิดแผ่นดินไหวในกรุงเทพ,2567,0.6,Wilai Promsuntorn,TCI2
A Study Of Parental Bonding Of Training Preceptors In Thailand,2567,0.6,Anbarasan Elavarasan   ,TCI2
ภูมิปัญญาท้องถิ่นกับ การเลี้ยงลูกด้วยนมแม่,2567,0.6,Thanomrat Prasith-thimet,TCI2
ภูมิปัญญาท้องถิ่นกับ การเลี้ยงลูกด้วยนมแม่,2567,0.6,Chuanpit Charoenpong,TCI2
ภูมิปัญญาท้องถิ่นกับ การเลี้ยงลูกด้วยนมแม่,2567,0.6,Sumitra Sittirit,TCI2
ภูมิปัญญาท้องถิ่นกับ การเลี้ยงลูกด้วยนมแม่,2567,0.6,Kingkaew Sangpaew,TCI2
ภูมิปัญญาท้องถิ่นกับ การเลี้ยงลูกด้วยนมแม่,2567,0.6,Wanree Saisamuth,TCI2
The Mediating Effect of Motivation on the Relationship between Work Passion and Job Satisfaction in Selected Private Secondary Schools in Nakhon Nayok Province,2567,0.6,Alfredo Cariaso Espejo,TCI2
The Mediating Effect of Motivation on the Relationship between Work Passion and Job Satisfaction in Selected Private Secondary Schools in Nakhon Nayok Province,2567,0.6,Juan Rodrigo Beldad Del Villar,TCI2
